Year,Unnamed: 0,Series,Units,Territorio,Value
2021,2620,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2012,2621,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2018,2622,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2015,2623,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2018,2624,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2019,2625,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2013,2626,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2020,2627,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2010,2628,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2012,2629,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2015,2630,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2011,2631,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2016,2632,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2016,2633,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2014,2634,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2017,2635,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2021,2636,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2017,2637,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2011,2638,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2013,2639,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2014,2640,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2020,2641,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",España,1
2010,2642,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
2019,2643,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,"Lógica (1=Sí, 0=No)",Canarias,1
